Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Date Added,Pages,Issue,Volume,Journal Abbreviation,Language,Rights,Archive,Archive Location,Notes,Manual Tags
G9TZ2UFS,bookSection,2013,"Carter-Francique, Akilah R.; Flowers, Courtney L.","Intersections of Race, Ethnicity, and Gender in Sport",Gender Relations in Sport,,,,,2013,9/29/25 19:27,73-93,,,,,,,,,
CLMSLIHZ,report,2013,"Shapiro, T. and Meschede, T. and Osoro, S.",The roots of the widening racial wealth gap: Explaining the black-white economic divide,,,,,,2013,9/29/25 19:28,,,,,,,,,,CRT; Finance/Legacy; Foundational; Systems Thinking
K7IIXSUT,book,2013,"Erving, J.; Arkush, M.",Dr. J: The Autobiography,,,,https://books.google.com/books?id=nDcnAAAAQBAJ,,2013,9/29/25 19:28,,,,,,,,,,
P4F8224M,report,2014,"Navarro, Kristina M",A Conceptual Model of Division I Student-Athletes' Career Construction Processes,,,,,,2014,9/29/25 19:27,219-235,,,,,,,,,
NFRC2MFS,book,2014,"Smith, Earl","Race, sport and the American dream",,,,,,2014,9/29/25 19:27,,,,,,,,,,
YY92TQVI,book,2014,"Corbin, Juliet; Strauss, Anselm",Basics of qualitative research: Techniques and procedures for developing grounded theory (4th ed.),,,,,,12/5/14,9/29/25 19:28,,,,,,,,,,
6A4YGYV3,journalArticle,2023,"Flynn, Darren; Crew, Teresa; Hare, Rosie; Maroo, Krishna; Preater, Andrew","'They Burn so Bright Whilst You Can Only Wonder Why': Stories at the Intersection of Social Class, Capital and Critical Information Literacy – A Collaborative Autoethnography",Journal of Information Literacy,1750-5968,,https://research.ebsco.com/linkprocessor/plink?id=eb33e345-28a6-3a8d-9aaf-2f30dac105ef,"In this article we connect critical librarianship and its practices of information literacy (IL) with working-class experiences of higher education (HE). Although the research literature and professional body of knowledge of critical information literacy (CIL), is one of the most theoretically-developed areas of wider critical librarianship (Critlib) movement, working-class knowledge and experiences remain underrepresented. One reason for this is that the values, behaviour and assumptions of library and HE workers are shaped by a HE system which inculcates middle-class values and cultural capitals within students, and stigmatises working-class students as lacking or in deficit. Hegemonic, or noncritical, IL proselytises middle-class values and assumptions about academic practices and skills development including the notion of an ideal student with behaviour and markers of identity which reflect those most privileged by wider society. In contrast CIL, framed as",2023,9/29/25 19:27,162-185,1,17,,,,,,,Criticism; Cultural Capital; Higher Education; Information Literacy; Library Personnel; Library Science; Middle Class Culture; Social Capital; Social Class; Student Experience; Work Environment; Working Class
SDUM87CQ,report,2014,"Lusardi, Annamaria; Samek, Anya Savikhin; Kapteyn, Arie; Glinert, Lewis; Hung, Angela; Heinberg, Aileen",Visual tools and narratives: New ways to improve financial literacy,,,,http://ssrn.com/abstract=2585231,,6/9/14,9/29/25 19:28,,,,,,,,,,
CWQV5QCM,book,2014,"Lazenby, R.",Michael Jordan: The Life,,,,https://books.google.com/books?id=yR4wAwAAQBAJ,,2014,9/29/25 19:28,,,,,,,,,,
G5WZGY4L,book,2015,"Kvale, Steinar; Brinkman, Svend",InterViews: Learning the craft of qualitative research interviewing,,,,,,2015,9/29/25 19:27,,,,,,,,,,
9I5W6Z6D,bookSection,2015,"Elder, Glen; Johnson, Monica Kirkpatrick; Crosnoe, Robert",The emergence and development of life course theory,Handbook of the life course,,,,,2015,9/29/25 19:27,55-81,,2,,,,,,,
QDKWITAZ,book,2015,"Harper, S.R.; Wood, J.L.",Advancing Black Male Student Success from Preschool through Ph.D.,,,,,,10/8/15,9/29/25 19:27,,,,,,,,,,
X8H6EGTV,book,2015,"Shropshire, Kenneth L.","Sport matters: Leadership, power, and the quest for respect in sports",,,,,,2015,9/29/25 19:28,,,,,,,,,,
U74U8CE4,journalArticle,2022,"Campbell, Paul Ian; Maloney, Marcus",'White digital footballers can't jump': (re)constructions of race in FIFA 20.,Soccer & Society,14660970,,https://research.ebsco.com/linkprocessor/plink?id=c419aed2-cee7-31e2-8157-e32adbd8680c,"Drawing on the quantitative datasets of Electronic Arts' FIFA 20 top 100 players and their qualitative descriptors, the paper addresses the following: (1) How do ideas of race manifest and influence digital worlds? (2) How do digital football simulations (games) disrupt or reproduce racialised stereotypes and logics found within football in the social world? (3) How does playing football video games contribute to users' understandings of race and sport. This paper, the first in-depth study of its kind, provides new empirical insights into the presence of the 'natural athlete' discourse within the operative datasets that underpin White and Black digital player performances in FIFA 20. We conclude that FIFA 20 is a site for a potent experiential socialisation in racialised myths, where gamers come to know race and the racialized other in sport through feeling the racialized differences of the procedurally generated natural athlete quite literally through their controllers. ABSTRACT FROM",2022,9/29/25 19:27,894-908,8,23,,,,,,,DIGITAL computer simulation; ELECTRONIC Arts Inc.; FEDERATION internationale de football association; OTHER (Philosophy); RACE; SOCCER; SOCIALIZATION; VIDEO games
E34EY9BW,conferencePaper,2015,"Arnold, Ross D.; Wade, Jon P.",A definition of systems thinking: A systems approach,Procedia Computer Science,,10.1016/j.procs.2015.03.050,,"This paper proposes a definition of systems thinking for use in a wide variety of disciplines, with particular emphasis on the development and assessment of systems thinking educational efforts. The definition was derived from a review of the systems thinking literature combined with the application of systems thinking to itself. Many different definitions of systems thinking can be found throughout the systems community, but key components of a singular definition can be distilled from the literature. This researcher considered these components both individually and holistically, then proposed a new definition of systems thinking that integrates these components as a system. The definition was tested for fidelity against a System Test and against three widely accepted system archetypes. Systems thinking is widely believed to be critical in handling the complexity facing the world in the coming decades; however, it still resides in the educational margins. In order for this important skill to receive mainstream educational attention, a complete definition is required. Such a definition has not yet been established. This research is an attempt to rectify this deficiency by providing such a definition.",2015,9/29/25 19:28,669-678,,44,,,,,,,System dynamics; Systems approach; Systems thinking; Systems thinking definition; What is systems thinking
H37CNNU4,journalArticle,2022,"Lavelle, Katherine","""An Injury like Any Other"": Counter Story, Mental Health Discourse, and Liz Cambage.",Howard Journal of Communications,,10.1080/10646175.2022.2063041,https://research.ebsco.com/linkprocessor/plink?id=5cb7070b-5228-3749-bc10-c937fc801425,"Recently, more elite athletes have publicly disclosed their mental health experiences in a variety of media texts. In 2019, Australian WNBA (Women's National Basketball Association) player Liz Cambage, who self-identifies as biracial, revealed her experiences with depression, anxiety, substance abuse and panic attacks that have interrupted her professional career multiple times. For communication studies scholars, Cambage's discourse, we must examine it because Black women are frequently encouraged to compartmentalize their emotions and mental health stressors instead of expressing them. It is critical to examine this discourse for WNBA players who spend most of their time away from home as they participate in multiple professional leagues every year. Using Critical Race Theory, specifically the concept of a counter story, this essay argues that Cambage's mediated mental health disclosures function as resistance to stereotypes about Black women and mental health.",2022,9/29/25 19:28,,5,33,Howard Journal of Communications,,,,,,Anxiety; Attitudes toward mental illness; Black people; Experience; Implicit bias; Mental depression; Mental health; Offices of Mental Health Practitioners (except Physicians); Panic disorders; Psychological stress; Racism; Sports participation; Substance abuse
8NHT3X6Z,journalArticle,2022,"Hotchkins, Bryan K.; Mcnaughtan, Jon; Lujan, Jarett","""Coalition of the Willing"": Promoting Antiracism Through Empowering Community College Campus Members.",Community College Review,,10.1177/00915521221111465,https://research.ebsco.com/linkprocessor/plink?id=ba3ee06b-6e04-3ee9-ba63-0f5b038d0698,"Objective/Research Question: Critical race theory (CRT) was used with a basic qualitative study to interrogate how racism unfolds at community colleges and how Black community college presidents enact antiracism. The purpose of this study is to enhance understandings about how community college presidents of African descent construct antiracism, how those definitions are communicated, and the rationale for creating opportunities to disrupt racism within predominantly White campus environments. Methods: Six presidents participated in three semi-structured interviews lasting approximately 75-minutes each. The sample included three men and three women. Interviews focused on institutional communications about racial tensions concerning how presidents' identities (e.g., race and gender) influenced decision making with campus stakeholders and presidential roles in defining and enacting antiracism. Results: Three themes emerged including how Accountability matters, the need for Space creators, and importance of developing Student ""critical"" mass. Participants discussed how they created spaces and utilized cultural capital networks to advance campus diversity agendas to benefit their institutions. Presidents posited that although community college leaders were likely motivated to participate in anti-racist practices due to the bettering of institutional image, decisive work needed to be done despite knowing endemic racism occurs in perpetuity. Conclusions/Contributions: This study highlights the need for enhanced training of presidents about how to conceptualize and engage campus racism. Additionally, presidents posited that the majority of students on their campuses were ready to engage in antiracism leadership activism, but they needed training to be empowered to develop anti-racist programs and practices. Finally, institutions need to develop stronger and more systematic ways to call out racism and promote anti-racist programing and practices.",2022,9/29/25 19:28,,4,50,Community College Review,,,,,,"Anti-racism; Coalitions; Colleges, Universities, and Professional Schools; Community colleges; Historically Black colleges & universities; Institutional racism; Junior Colleges; Race relations; Student activism"
DMNKCZCN,journalArticle,2024,"Carrizal-Dukes, Elvira; Madruga, Natalie; Mayberry, Tommy; Pappo, Danielle","""Fight Story with Story"": Counterstory as Resilient Futurity.",College English,,10.58680/ce2024872268,https://research.ebsco.com/linkprocessor/plink?id=010d2350-52d8-3f2c-a07b-e6f2ad709fb9,"The article focuses on the concept of counterstory as a method of resistance and healing within marginalized communities, particularly through the lens of critical race theory (CRT). It highlights the contributions of several authors who utilize counterstory to challenge negative stereotypes and promote the narratives of Cholos, Cholas, and Cholx individuals across various cultural contexts, including the U.S., Mexico, and Vietnam. The authors share personal experiences and reflections on their academic journeys, emphasizing the importance of representation and the transformative power of storytelling in addressing systemic injustices. Through their collective work, they aim to foster resilience and solidarity among communities facing oppression.",2024,9/29/25 19:28,,2,87,College English,,,,,,Critical race theory; Institutional racism; Poor communities; Psychological resilience; Representation (Philosophy); Self-efficacy; Storytelling
UMSKQNZE,book,2017,"Delgado, Richard; Stefancic, Jean",Critical race theory: An introduction,,,,,,3/7/17,9/29/25 19:27,,,,,,,,,,
PT38SB8L,book,2017,"Creswell, John W.; Clark, Vickie L. Plano",Designing and Conducting Mixed Methods Research,,,,,,2017-09,9/29/25 19:27,,,,,,,,,,
T4DTJGFR,journalArticle,2025,"Jayakumar, Uma Mazyck; Vue, Rican","“Justice, Like Beauty, is in the Eye of the Beholder”*: A Critical Historical Reimagining of Justice Possibilities in an Anti-DEI Higher Education Landscape.",Journal of Higher Education,,10.1080/00221546.2025.2542058,https://research.ebsco.com/linkprocessor/plink?id=26aa8044-2e83-33b6-a015-678755f40e83,"This paper engages Critical Race Theory and composite counter-storytelling to analyze the racialized implications of the University of North Carolina (UNC) system’s 2024 policy resolution targeting Diversity, Equity, and Inclusion (DEI). The protagonist in our story, Rachel Justice, rooted in fugitive pedagogy, is faced with the dilemma of participating in the implementation of this UNC DEI ban. We develop and apply a <italic>fugitive critical policy analysis</italic> to identify and present five interrelated dynamics enacted by the policy and lived by racially minoritized individuals: regressive legalism, institutional gaslighting; epistemic exile; contradictory advocacy; and narrative shelter-making. These dynamics illuminate the afterlives of anti-DEI policy in institutional structures and in the voices and imaginaries of those it seeks to silence. Through encounters with spirit guides embodying epistemic exile across institutional boundaries, we illuminate interpretive reimagination: a justice-driven alternative to regressive legalism that navigates legal ambiguity with radical creativity. In doing so, this paper refuses erasure, affirms memory, and demands more than survival in an era of white institutional reconstruction.",2025,9/29/25 19:28,,,,Journal of Higher Education,,,,,,Critical analysis; Critical pedagogy; Critical race theory; Diversity & inclusion policies; Higher education; Institutional environment; Policy analysis; Race relations; University of North Carolina at Chapel Hill
XYARFJN8,journalArticle,2024,"Sambaraju, Rahul","""My mother did not have civil rights under the law"": Family derived race categories in negotiating positions on Critical Race Theory.",Journal of Social Issues,,10.1111/josi.12607,https://research.ebsco.com/linkprocessor/plink?id=c1f642a2-a4dc-3502-a0b0-0a66261877ee,"How do persons negotiate the relevance of historic racial injustice for contemporary concerns? In this paper, I show that persons could develop and use racial categorizations in association with family relations to make salient (or not) the relevance of past racial injustice for contemporary concerns. I examined how people construct and orient to racial group membership as implying historical oppression, and its relevance for contemporary interracial relations in the form of supporting or opposing Critical Race Theory (CRT) teaching in the United States public school system. I examined debates and discussions on CRT televised in the American news media using discursive psychological approaches. Findings show that race categories were developed and used in relation to one's ancestors: parents, aunts and uncles, and distant generations. This was done to raise the salience of past racial injustice, which otherwise would involve offering historic or other social structural arguments. The use of family derived race categories at once personalized and enhanced the credibility of the speaker, and countered possible implications for taking responsibility for past actions. These family‐derived race categories were then a resource speakers could use to negotiate their position on CRT. These findings are discussed in relation to the relevance of time for negotiating racism. Further arguments are developed in relation to how an ethnomethodological approach can illuminate critical arguments on race and racism.",2024,9/29/25 19:28,,1,80,Journal of Social Issues,,,,,,Civil rights; Critical race theory; Discursive psychology; Families; Race; Racism; Social psychology; Television Broadcasting; Television broadcasting of news
CEF263D6,book,2017,"Edwards, H.",The revolt of the Black athlete,,,,,,2017,9/29/25 19:28,,,,,,,,,,CRT; Finance/Legacy; Foundational; Systems Thinking
7EAF7NW5,book,2017,"Leonard, D. J.",Playing while white: Privilege and power on and off the field,,,,,,2017,9/29/25 19:28,,,,,,,,,,CRT; Finance/Contracts; Foundational; Systems Thinking
LXEQNDMS,book,2017,"Davenport, T. H. and Harris, J. G.","Competing on analytics: Updated, with a new introduction: The new science of winning",,,,,,2017,9/29/25 19:28,,,,,,,,,,ABDC; Decision Intelligence; Finance/Advisory; Systems Thinking
CXSCSWT2,report,2017,"Wolff, E. N.","Household wealth trends in the United States, 1962 to 2016: Has middle class wealth recovered?",,,,,,2017,9/29/25 19:28,,,,,,,,,,Finance/Legacy; Foundational; Systems Thinking
3KYZ6X7Q,book,2018,"Hutchison, Elizabeth D.",Dimensions of human behavior: The changing life course,,,,,,2018,9/29/25 19:27,,,,,,,,,,
BN3JYEFQ,report,2019,,The Advantages of Data-Driven Decision-Making online.hbs.edu/blog/post/data-driven-decision-making,,,,,,2019,9/29/25 19:27,,,,,,,,,,
P7TDM87Y,book,2019,"Tracy, Sarah J.","Qualitative Research Methods: Collecting Evidence, Crafting Analysis, Communicating Impact",,,,,,2019,9/29/25 19:27,,,,,,,,,,
N5TEI289,book,2019,"Peoples, Katarzyna",How to write a phenomenological dissertation: A step-by-step guide,,,,,,2019,9/29/25 19:27,,,,,,,,,,
ES8VGX7C,journalArticle,2024,"Youssef, Rania Samir",172 shades of black: Underground Airlines and critical race storytelling of alternate history.,Constellations: An International Journal of Critical & Democratic Theory,,10.1111/1467-8675.12738,https://research.ebsco.com/linkprocessor/plink?id=f826f449-e629-3d7f-b3bf-7546a6f12c54,"The article explores the intersection of law and narrative, emphasizing the importance of storytelling in legal decision-making and the role of Critical Race Theory (CRT) in examining racism and power dynamics. By analyzing Ben Winters' novel ""Underground Airlines,"" the study delves into an alternate history where slavery persists, shedding light on racial subordination and the complexities of racism. Through storytelling and counter storytelling, the novel challenges institutionalized racism, offering a hopeful vision for a more inclusive society that actively resists all forms of racism.",2024,9/29/25 19:28,,4,31,Constellations: An International Journal of Critical & Democratic Theory,,,,,,Citizens; Imagination; Institutional racism; Political science; Racism; Research and Development in the Social Sciences and Humanities; Social forces; Social science methodology
XYK5KL4D,book,2019,"Bose, Satyajit; Dong, Guo; Simpson, Anne",The financial ecosystem: The role of finance in achieving sustainability,,,,,,12/1/19,9/29/25 19:27,,,,,,,,,,
WVFGJIM4,journalArticle,2004,"Bertrand, M. and Mullainathan, S. and Shafir, E.",A behavioral-economics view of poverty,American Economic Review,,10.1257/0002828041302019,,,2004,9/29/25 19:28,419-423,2,94,American Economic Review,,,,,,ABDC; Behavioral Economics; CRT; Finance/Wealth
2SXMIUJ2,report,2019,National Collegiate Athletic Association,Enhancing financial literacy among student-athletes,,,,https://www.ncaa.org/sports/2019/2/1/enhancing-financial-literacy-among-student-athletes.aspx,,2/1/19,9/29/25 19:28,,,,,,,,,,
RIHNHW6G,book,2019,"Navarro, Kristina M.; Rubin, Lisa M.; Mamerow, Geoff",Implementing student‑athlete programming: A guide for supporting college athletes,,,,,,8/9/19,9/29/25 19:28,,,,,,,,,,
RH35XTME,journalArticle,2023,"Conradie, Marthinus Stander","A Critical Race Theoretic, Discourse Analysis of Facilitators' Experiences with Teaching About Racism at a South African University.",Critical Arts: A South-North Journal of Cultural & Media Studies,,10.1080/02560046.2023.2228389,https://research.ebsco.com/linkprocessor/plink?id=042c785e-6486-3825-b097-e4ba9273b283,"This study conducts a critical race theoretic (CRT) reading of interviews with contractually-employed teaching assistants (facilitators). Facilitators are tasked with actively engaging small groups of first-year students in analyses of post-colonial literature. During the interviews, facilitators described the frustrations and discomfort they encounter while discussing racism and while assessing students' essays on the subject. Using CRT, this study examines how facilitators respond to what they construe as: (1) resistance from some students racialised as white, and (2) a perceived eagerness from students racialised as black to set experiential knowledge of racialised inequalities in conversation with the literature under study.",2023,9/29/25 19:28,,1,37,Critical Arts: A South-North Journal of Cultural & Media Studies,,,,,,Critical race theory; Racism; South Africa; Students; Teaching
33RR87UJ,journalArticle,2021,"Conyers, Addrain; Wright Fields, Christina",A Critical Race Theory Analysis of Institutional Racial Paralysis in Organizational Culture.,Public Integrity,,10.1080/10999922.2020.1832365,https://research.ebsco.com/linkprocessor/plink?id=7cd0248b-25fb-33e4-92ba-ca8dbd14668d,"This article uses critical race theory (CRT) to explore institutional racial paralysis (IRP) in organizational culture. Utilizing a CRT lens, the authors identify four stages of IRP: idleness, concealment, evolving modus operandi, and pervasive. The major tenets of CRT are utilized to reveal colorblindness and White hegemony as a justification for remaining idle on issues of race. The authors argue that IRP is not a new phenomenon, but rather a byproduct of institutional racism. This article joins an expanding list of scholarship encouraging discourse that engages CRT as an instrumental theory in contemporary issues of race in public administration.",2021,9/29/25 19:28,,5,23,Public Integrity,,,,,,Corporate culture; Critical race theory; Institutional racism; Other General Government Support; Paralysis; Public administration
2N4BEERX,journalArticle,2022,"Daftary, Ashley-Marie; Ortega, Debora; Sanders, Cynthia; Hylton, Mary",A CRT Analysis of Policy Making in Nevada: A Case Study for Social Work Education.,Journal of Social Work Education,,10.1080/10437797.2021.1957734,https://research.ebsco.com/linkprocessor/plink?id=5072f9f8-b0f2-3fc6-95a2-f4f9e0bb41b7,"This study uses critical race theory (CRT) to uncover racialized interactions that influence legislative processes. The transcripts from public hearings from the 2017 Nevada State legislative session were included in the data analysis. Results demonstrate the utility of CRT as an analytic tool to examine the policy-making process, identify narratives that sustain and protect white supremacy imbedded in policies governing high school education, and uncover racist testimony throughout the policy-making process. More specifically, results demonstrate the ways that subtle racialized interactions drive conversations where White constituents protect white interests at the expense of racial equity. Conversely, findings highlight how People of Color issue a counternarrative by providing necessary historical context and perspectives to work toward racial justice goals.",2022,9/29/25 19:28,,4,58,Journal of Social Work Education,,,,,,Conceptual structures; Critical theory; Critical thinking; Government policy; Nevada; Other Individual and Family Services; Policy sciences; Racism; Social work education
NMZBNQ9Z,journalArticle,2011,"Beamon, Krystal; Bell, Patricia",A Dream Deferred,Journal for the Study of Sports and Athletes in Education,1935-7397,10.1179/ssa.2011.5.1.29,https://doi.org/10.1179/ssa.2011.5.1.29,,4/1/11,9/29/25 19:28,29-44,1,5,,,,,,<p>doi: 10.1179/ssa.2011.5.1.29</p>,
2LUJHJC6,journalArticle,2024,"Cook, Jacob Alan","A new fundamentalism rising: The Southern Baptist Battle against the CRT ""worldview"".",Journal of American Culture,,10.1111/jacc.13533,https://research.ebsco.com/linkprocessor/plink?id=4d85ee84-6082-37e2-934a-51574bb3c03b,"An essay is presented which explores the activism and opposition of the Right wing of the Southern Baptist Convention (SBC) to the critical race theory and intersectionality (CRT/I) worldview. Topics discussed include the way the political Right movement tend to associate apocalypse with CRT/I, the diversity, equity, and inclusion (DEI) disinformation efforts of right-wing political activist Christopher Rufo, and the reliance of SBC members on the Evangelical Worldview Theory (EWT).",2024,9/29/25 19:28,,1,47,Journal of American Culture,,,,,,"Critical race theory; Disinformation; Intersectionality; Right-wing extremism; Right-wing extremists; Rufo, Christopher F., 1984-; Southern Baptist Convention; Worldview"
TVTDFWQY,journalArticle,2021,"Desautels-Stein, Justin",A Prolegomenon to the Study of Racial Ideology in the Era of International Human Rights.,UCLA Law Review,,,https://research.ebsco.com/linkprocessor/plink?id=cdeab724-9120-35a9-ba98-f21feba92641,"There is no critical race approach to international law. There are Third World approaches, feminist approaches, economic approaches, and constitutional approaches, but notably absent in the catalogue is a distinct view of international law that takes its point of departure from the vantage of Critical Race Theory (CRT), or anything like it. Through a study of racial ideology in the history of international legal thought, this Article offers the beginnings of an explanation for how this lack of attention to race and racism came to be, and why it matters today.",2021,9/29/25 19:28,,6,67,UCLA Law Review,,,,,,Critical race theory; Feminism; International law; Race; Racism
XLEUKB2H,report,2020,"Curington, R J",The Importance of NCAA Student-Athletes' Financial Literacy and The Importance of NCAA Student-Athletes' Financial Literacy and Mental Health in Anticipation of the Historic Fair Pay to Play Act Mental Health in Anticipation of the Historic Fair Pay to Play Act,,,,https://via.library.depaul.edu/jslcp,,2020,9/29/25 19:27,,,,,,,,,,
YS5PU2W6,journalArticle,2024,"Gosha, Kinnis; Gilbert, Nina; Nelson, Whitney; Mackroy, Kaylah; Newell, Mi'Kayla; Reid, Amber; Jackson, Kaela S.",A Qualitative Exploration of the Robert Smith Gift at Morehouse College,Journal of Student Financial Aid,0884-9153,,https://research.ebsco.com/linkprocessor/plink?id=6f6d1c55-2984-3cd0-a790-d25def9aeadb,"Previous scholars investigating the effects of student loan debt have conducted survey analyses involving large samples to examine the relationships among debt forgiveness, loan repayment behavior, income earnings, and returning home. Fewer works have explored the outcomes of student loan elimination in a qualitative study. In 2019, Robert Smith donated a Gift (RSGift) to the graduating class of Morehouse College, which eliminated the new graduates' student loan debt, inviting further inquiry into their developments since receiving the gift. This study employs a qualitative investigation to examine how student loan elimination influenced the graduating classes. This study also applies Yosso's Community Cultural Wealth Model (CCW) to explore how student loan elimination through the RSGift affected the graduates' capital acquisitions. Findings showed that eliminating student loan debt helped them navigate post-graduation as the RSGift removed social and economic barriers associated with",2024,9/29/25 19:27,null-null,3,53,,,,,,,Black Colleges; Capital (Sociology); College Graduates; Cultural Capital; Debt (Financial); Educational Attainment; Family (Sociological Unit); Georgia (Atlanta); Money Management; Occupational Aspiration; Ownership; Private Financial Support; Student Loan Programs; Travel
SFBT8KBL,report,2020,OECD,OECD/INFE 2020 International Survey of Adult Financial Literacy,,,,OECD/INFE 2020 International Survey of Adult Financial Literacy,,2020,9/29/25 19:27,,,,,,,,,,
JIACGUUG,bookSection,2020,"Masteralexis, Lisa Pike",Labor relations and collective bargaining in sport,Sport law: A managerial approach,,,,,12/27/20,9/29/25 19:27,171-193,,,,,,,,,
PXUZ8D48,report,2020,NEFE,The personal finance ecosystem narrative version 3,,,,,,2020,9/29/25 19:27,,,,,,,,,,
X7AMU9PL,book,2020,"Vogel, Harold L.",Entertainment Industry Economics: A Guide to Financial Analysis,,,,,,8/27/20,9/29/25 19:28,,,,,,,,,,
PV3JY25M,book,2020,"Rosplock, Kirby",The Complete Family Office Handbook: A Guide for Affluent Families and the Advisors Who Serve Them,,,,,,11/24/20,9/29/25 19:28,,,,,,,,,,
KDMT4HR4,bookSection,2020,"Flynn, S.V.; Korcuska, J. S.; Brady, J.; Hays, D.G.; Heesacker, M.",Counselor education doctoral students in training: A qualitative analysis of researcher identity development,Qualitative inquiry in clinical and educational settings,,,,,2020,9/29/25 19:28,295-317,,,,,,,,,
